P_RESP_ID,P_ORGANIZATION_CODE,P_PERIOD,P_CATEGORY_SET_NAME,P_ITEM_TYPE,P_BATCH_STATUS,P_ITEM_FROM,P_ITEM_TO,PERIOD,OPERATING_UNIT,ORGANIZATION_NAME,ITEM_TYPE,CATEGORY,CAT,ITEM,ITEM_DESCRIPTION,UOM,QTY,QTY_KG,ACC_QTY,ACC_QTY_KG,SUM_QTY_PER_CAT,SUM_QTY_KG_PER_CAT,SUM_ACC_QTY_PER_CAT,SUM_ACC_QTY_KG_PER_CAT,SUM_QTY_KG_PER_ORG,SUM_ACC_QTY_KG_PER_ORG,XDO_USER_NAME
,,2023-10-31,,,,,,2023-10-31,FAC-D-Unit-252,Factory D NM,FG,,,06-009,Product 06-009,KG,82313.0,41156.38,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-E-Unit-246,Factory E NM,FG,,,05-011,Product 05-011,KG,12759.0,6379.36,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-E-Unit-246,Factory E NM,FG,,,08-010,Product 08-010,KG,58157.0,29078.37,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-E-Unit-246,Factory E NM,FG,,,07-013,Product 07-013,KG,4330.0,2165.06,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-E-Unit-246,Factory E NM,FG,,,02-009,Product 02-009,KG,40897.0,20448.68,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-E-Unit-246,Factory E NM,FG,,,08-006,Product 08-006,KG,31730.0,15865.13,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-F-Unit-249,Factory F NM,FG,,,03-005,Product 03-005,KG,33041.0,16520.61,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-F-Unit-249,Factory F NM,FG,,,01-011,Product 01-011,KG,75476.0,37737.89,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-F-Unit-249,Factory F NM,FG,,,05-002,Product 05-002,KG,15353.0,7676.35,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-F-Unit-249,Factory F NM,FG,,,03-008,Product 03-008,KG,89993.0,44996.29,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-F-Unit-249,Factory F NM,FG,,,03-012,Product 03-012,KG,25773.0,12886.28,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-G-Unit-245,Factory G NM,FG,,,04-005,Product 04-005,KG,65190.0,32594.89,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-G-Unit-245,Factory G NM,FG,,,06-010,Product 06-010,KG,42259.0,21129.65,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-G-Unit-245,Factory G NM,FG,,,06-012,Product 06-012,KG,53517.0,26758.62,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-G-Unit-245,Factory G NM,FG,,,03-009,Product 03-009,KG,94823.0,47411.29,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-G-Unit-245,Factory G NM,FG,,,08-011,Product 08-011,KG,60330.0,30164.81,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-H-Unit-241,Factory H NM,FG,,,06-012,Product 06-012,KG,93352.0,46675.92,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-H-Unit-241,Factory H NM,FG,,,08-007,Product 08-007,KG,38705.0,19352.27,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-H-Unit-241,Factory H NM,FG,,,06-002,Product 06-002,KG,9916.0,4958.18,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-H-Unit-241,Factory H NM,FG,,,04-008,Product 04-008,KG,39955.0,19977.27,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-H-Unit-241,Factory H NM,FG,,,07-004,Product 07-004,KG,60820.0,30409.92,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-I-Unit-247,Factory I NM,FG,,,04-008,Product 04-008,KG,66434.0,33217.22,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-I-Unit-247,Factory I NM,FG,,,06-011,Product 06-011,KG,21073.0,10536.34,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-I-Unit-247,Factory I NM,FG,,,03-007,Product 03-007,KG,40290.0,20145.15,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-I-Unit-247,Factory I NM,FG,,,02-002,Product 02-002,KG,94763.0,47381.63,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-I-Unit-247,Factory I NM,FG,,,05-003,Product 05-003,KG,26168.0,13084.25,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-J-Unit-242,Factory J NM,FG,,,04-014,Product 04-014,KG,26751.0,13375.49,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-J-Unit-242,Factory J NM,FG,,,04-008,Product 04-008,KG,38483.0,19241.7,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-J-Unit-242,Factory J NM,FG,,,01-011,Product 01-011,KG,12599.0,6299.39,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-J-Unit-242,Factory J NM,FG,,,07-012,Product 07-012,KG,26657.0,13328.35,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-J-Unit-242,Factory J NM,FG,,,02-001,Product 02-001,KG,28653.0,14326.29,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-K-Unit-243,Factory K NM,FG,,,03-009,Product 03-009,KG,10261.0,5130.32,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-K-Unit-243,Factory K NM,FG,,,02-003,Product 02-003,KG,62763.0,31381.55,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-K-Unit-243,Factory K NM,FG,,,03-007,Product 03-007,KG,16441.0,8220.29,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-K-Unit-243,Factory K NM,FG,,,07-015,Product 07-015,KG,17676.0,8838.18,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-K-Unit-243,Factory K NM,FG,,,03-010,Product 03-010,KG,3394.0,1697.18,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-L-Unit-248,Factory L NM,FG,,,01-009,Product 01-009,KG,28172.0,14085.99,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-L-Unit-248,Factory L NM,FG,,,03-008,Product 03-008,KG,45134.0,22567.07,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-L-Unit-248,Factory L NM,FG,,,03-004,Product 03-004,KG,80005.0,40002.69,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-L-Unit-248,Factory L NM,FG,,,03-003,Product 03-003,KG,61750.0,30874.98,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-L-Unit-248,Factory L NM,FG,,,03-005,Product 03-005,KG,12837.0,6418.73,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-M-Unit-250,Factory M NM,FG,,,03-012,Product 03-012,KG,73659.0,36829.48,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-M-Unit-250,Factory M NM,FG,,,08-004,Product 08-004,KG,67105.0,33552.41,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-M-Unit-250,Factory M NM,FG,,,05-004,Product 05-004,KG,14804.0,7401.79,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-M-Unit-250,Factory M NM,FG,,,05-005,Product 05-005,KG,64713.0,32356.6,,,,,,,,,
,,2023-10-31,,,,,,2023-10-31,FAC-M-Unit-250,Factory M NM,FG,,,01-003,Product 01-003,KG,77671.0,38835.46,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-A-Unit-240,Factory A NM,FG,,,02-004,Product 02-004,KG,26881.0,13440.32,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-A-Unit-240,Factory A NM,FG,,,02-010,Product 02-010,KG,76836.0,38417.96,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-A-Unit-240,Factory A NM,FG,,,03-006,Product 03-006,KG,69422.0,34711.22,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-A-Unit-240,Factory A NM,FG,,,01-007,Product 01-007,KG,33636.0,16817.91,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-A-Unit-240,Factory A NM,FG,,,01-006,Product 01-006,KG,55458.0,27728.92,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-B-Unit-251,Factory B NM,FG,,,06-005,Product 06-005,KG,42946.0,21472.77,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-B-Unit-251,Factory B NM,FG,,,03-005,Product 03-005,KG,27779.0,13889.52,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-B-Unit-251,Factory B NM,FG,,,07-015,Product 07-015,KG,8958.0,4479.05,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-B-Unit-251,Factory B NM,FG,,,02-004,Product 02-004,KG,55136.0,27568.02,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-B-Unit-251,Factory B NM,FG,,,07-002,Product 07-002,KG,89140.0,44570.1,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-C-Unit-244,Factory C NM,FG,,,01-011,Product 01-011,KG,81220.0,40609.87,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-C-Unit-244,Factory C NM,FG,,,07-012,Product 07-012,KG,27814.0,13906.78,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-C-Unit-244,Factory C NM,FG,,,05-013,Product 05-013,KG,2385.0,1192.54,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-C-Unit-244,Factory C NM,FG,,,07-014,Product 07-014,KG,50555.0,25277.5,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-C-Unit-244,Factory C NM,FG,,,05-009,Product 05-009,KG,11822.0,5911.18,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-D-Unit-252,Factory D NM,FG,,,05-005,Product 05-005,KG,26710.0,13354.97,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-D-Unit-252,Factory D NM,FG,,,01-005,Product 01-005,KG,39364.0,19682.02,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-D-Unit-252,Factory D NM,FG,,,05-014,Product 05-014,KG,51092.0,25546.0,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-D-Unit-252,Factory D NM,FG,,,07-002,Product 07-002,KG,95212.0,47606.17,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-D-Unit-252,Factory D NM,FG,,,08-002,Product 08-002,KG,76687.0,38343.31,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-E-Unit-246,Factory E NM,FG,,,01-008,Product 01-008,KG,48572.0,24286.15,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-E-Unit-246,Factory E NM,FG,,,07-014,Product 07-014,KG,46036.0,23018.21,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-E-Unit-246,Factory E NM,FG,,,05-005,Product 05-005,KG,71441.0,35720.38,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-E-Unit-246,Factory E NM,FG,,,06-013,Product 06-013,KG,63096.0,31548.16,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-E-Unit-246,Factory E NM,FG,,,03-002,Product 03-002,KG,65151.0,32575.41,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-F-Unit-249,Factory F NM,FG,,,08-001,Product 08-001,KG,44762.0,22381.21,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-F-Unit-249,Factory F NM,FG,,,05-007,Product 05-007,KG,79411.0,39705.69,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-F-Unit-249,Factory F NM,FG,,,06-007,Product 06-007,KG,82156.0,41077.82,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-F-Unit-249,Factory F NM,FG,,,08-004,Product 08-004,KG,30467.0,15233.6,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-F-Unit-249,Factory F NM,FG,,,06-013,Product 06-013,KG,35292.0,17646.01,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-G-Unit-245,Factory G NM,FG,,,02-004,Product 02-004,KG,99564.0,49781.86,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-G-Unit-245,Factory G NM,FG,,,02-013,Product 02-013,KG,73589.0,36794.41,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-G-Unit-245,Factory G NM,FG,,,06-011,Product 06-011,KG,24296.0,12148.23,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-G-Unit-245,Factory G NM,FG,,,07-010,Product 07-010,KG,11985.0,5992.64,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-G-Unit-245,Factory G NM,FG,,,04-002,Product 04-002,KG,42647.0,21323.45,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-H-Unit-241,Factory H NM,FG,,,06-011,Product 06-011,KG,55015.0,27507.65,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-H-Unit-241,Factory H NM,FG,,,01-001,Product 01-001,KG,89449.0,44724.59,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-H-Unit-241,Factory H NM,FG,,,06-005,Product 06-005,KG,68639.0,34319.29,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-H-Unit-241,Factory H NM,FG,,,05-008,Product 05-008,KG,72559.0,36279.47,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-H-Unit-241,Factory H NM,FG,,,03-008,Product 03-008,KG,10327.0,5163.52,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-I-Unit-247,Factory I NM,FG,,,02-005,Product 02-005,KG,7069.0,3534.32,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-I-Unit-247,Factory I NM,FG,,,02-013,Product 02-013,KG,22682.0,11340.88,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-I-Unit-247,Factory I NM,FG,,,06-014,Product 06-014,KG,9284.0,4642.21,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-I-Unit-247,Factory I NM,FG,,,06-009,Product 06-009,KG,30314.0,15156.8,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-I-Unit-247,Factory I NM,FG,,,06-005,Product 06-005,KG,63489.0,31744.51,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-J-Unit-242,Factory J NM,FG,,,03-001,Product 03-001,KG,26159.0,13079.54,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-J-Unit-242,Factory J NM,FG,,,06-011,Product 06-011,KG,80703.0,40351.63,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-J-Unit-242,Factory J NM,FG,,,03-002,Product 03-002,KG,61981.0,30990.43,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-J-Unit-242,Factory J NM,FG,,,04-003,Product 04-003,KG,38936.0,19467.86,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-J-Unit-242,Factory J NM,FG,,,05-010,Product 05-010,KG,2134.0,1067.03,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-K-Unit-243,Factory K NM,FG,,,02-005,Product 02-005,KG,65757.0,32878.66,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-K-Unit-243,Factory K NM,FG,,,03-004,Product 03-004,KG,22837.0,11418.61,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-K-Unit-243,Factory K NM,FG,,,07-003,Product 07-003,KG,38726.0,19362.79,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-K-Unit-243,Factory K NM,FG,,,08-006,Product 08-006,KG,2765.0,1382.53,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-K-Unit-243,Factory K NM,FG,,,03-009,Product 03-009,KG,69981.0,34990.51,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-L-Unit-248,Factory L NM,FG,,,07-001,Product 07-001,KG,35438.0,17718.9,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-L-Unit-248,Factory L NM,FG,,,01-011,Product 01-011,KG,66868.0,33433.97,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-L-Unit-248,Factory L NM,FG,,,06-008,Product 06-008,KG,47766.0,23882.97,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-L-Unit-248,Factory L NM,FG,,,07-012,Product 07-012,KG,81579.0,40789.63,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-L-Unit-248,Factory L NM,FG,,,01-013,Product 01-013,KG,17280.0,8640.01,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-M-Unit-250,Factory M NM,FG,,,06-006,Product 06-006,KG,95579.0,47789.6,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-M-Unit-250,Factory M NM,FG,,,06-003,Product 06-003,KG,49369.0,24684.36,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-M-Unit-250,Factory M NM,FG,,,01-003,Product 01-003,KG,34506.0,17252.82,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-M-Unit-250,Factory M NM,FG,,,04-015,Product 04-015,KG,19787.0,9893.38,,,,,,,,,
,,2023-11-30,,,,,,2023-11-30,FAC-M-Unit-250,Factory M NM,FG,,,07-003,Product 07-003,KG,25956.0,12978.16,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-A-Unit-240,Factory A NM,FG,,,05-009,Product 05-009,KG,34425.0,17212.48,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-A-Unit-240,Factory A NM,FG,,,04-013,Product 04-013,KG,95556.0,47777.84,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-A-Unit-240,Factory A NM,FG,,,01-009,Product 01-009,KG,34641.0,17320.59,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-A-Unit-240,Factory A NM,FG,,,04-015,Product 04-015,KG,57391.0,28695.38,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-A-Unit-240,Factory A NM,FG,,,03-007,Product 03-007,KG,41561.0,20780.28,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-B-Unit-251,Factory B NM,FG,,,01-002,Product 01-002,KG,5428.0,2714.14,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-B-Unit-251,Factory B NM,FG,,,03-010,Product 03-010,KG,27585.0,13792.27,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-B-Unit-251,Factory B NM,FG,,,08-014,Product 08-014,KG,29313.0,14656.66,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-B-Unit-251,Factory B NM,FG,,,01-012,Product 01-012,KG,91117.0,45558.66,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-B-Unit-251,Factory B NM,FG,,,04-003,Product 04-003,KG,65626.0,32812.89,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-C-Unit-244,Factory C NM,FG,,,01-005,Product 01-005,KG,16778.0,8388.85,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-C-Unit-244,Factory C NM,FG,,,04-009,Product 04-009,KG,83923.0,41961.51,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-C-Unit-244,Factory C NM,FG,,,08-005,Product 08-005,KG,93719.0,46859.37,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-C-Unit-244,Factory C NM,FG,,,02-015,Product 02-015,KG,15423.0,7711.29,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-C-Unit-244,Factory C NM,FG,,,07-007,Product 07-007,KG,49848.0,24923.82,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-D-Unit-252,Factory D NM,FG,,,04-011,Product 04-011,KG,89934.0,44966.85,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-D-Unit-252,Factory D NM,FG,,,08-010,Product 08-010,KG,15345.0,7672.53,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-D-Unit-252,Factory D NM,FG,,,03-007,Product 03-007,KG,26537.0,13268.28,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-D-Unit-252,Factory D NM,FG,,,07-006,Product 07-006,KG,55185.0,27592.36,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-D-Unit-252,Factory D NM,FG,,,06-007,Product 06-007,KG,80303.0,40151.51,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-E-Unit-246,Factory E NM,FG,,,01-002,Product 01-002,KG,9385.0,4692.39,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-E-Unit-246,Factory E NM,FG,,,05-008,Product 05-008,KG,95918.0,47959.08,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-E-Unit-246,Factory E NM,FG,,,02-006,Product 02-006,KG,44631.0,22315.58,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-E-Unit-246,Factory E NM,FG,,,03-003,Product 03-003,KG,63079.0,31539.62,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-E-Unit-246,Factory E NM,FG,,,03-005,Product 03-005,KG,67298.0,33648.96,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-F-Unit-249,Factory F NM,FG,,,04-006,Product 04-006,KG,51320.0,25660.25,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-F-Unit-249,Factory F NM,FG,,,01-001,Product 01-001,KG,92769.0,46384.49,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-F-Unit-249,Factory F NM,FG,,,01-011,Product 01-011,KG,81871.0,40935.38,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-F-Unit-249,Factory F NM,FG,,,08-001,Product 08-001,KG,33673.0,16836.3,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-F-Unit-249,Factory F NM,FG,,,02-015,Product 02-015,KG,98262.0,49130.96,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-G-Unit-245,Factory G NM,FG,,,06-015,Product 06-015,KG,5183.0,2591.58,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-G-Unit-245,Factory G NM,FG,,,06-010,Product 06-010,KG,82444.0,41221.81,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-G-Unit-245,Factory G NM,FG,,,02-011,Product 02-011,KG,29022.0,14510.75,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-G-Unit-245,Factory G NM,FG,,,05-001,Product 05-001,KG,80062.0,40030.88,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-G-Unit-245,Factory G NM,FG,,,07-002,Product 07-002,KG,30245.0,15122.66,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-H-Unit-241,Factory H NM,FG,,,02-007,Product 02-007,KG,94545.0,47272.28,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-H-Unit-241,Factory H NM,FG,,,08-006,Product 08-006,KG,61853.0,30926.68,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-H-Unit-241,Factory H NM,FG,,,02-010,Product 02-010,KG,72153.0,36076.65,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-H-Unit-241,Factory H NM,FG,,,05-014,Product 05-014,KG,76673.0,38336.52,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-H-Unit-241,Factory H NM,FG,,,07-013,Product 07-013,KG,27756.0,13877.9,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-I-Unit-247,Factory I NM,FG,,,02-006,Product 02-006,KG,12724.0,6362.09,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-I-Unit-247,Factory I NM,FG,,,06-001,Product 06-001,KG,28506.0,14252.99,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-I-Unit-247,Factory I NM,FG,,,05-003,Product 05-003,KG,6570.0,3285.16,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-I-Unit-247,Factory I NM,FG,,,08-011,Product 08-011,KG,44370.0,22185.04,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-I-Unit-247,Factory I NM,FG,,,03-015,Product 03-015,KG,83090.0,41544.84,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-J-Unit-242,Factory J NM,FG,,,07-006,Product 07-006,KG,35225.0,17612.4,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-J-Unit-242,Factory J NM,FG,,,06-003,Product 06-003,KG,57998.0,28999.16,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-J-Unit-242,Factory J NM,FG,,,05-011,Product 05-011,KG,45843.0,22921.61,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-J-Unit-242,Factory J NM,FG,,,08-003,Product 08-003,KG,66595.0,33297.37,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-J-Unit-242,Factory J NM,FG,,,04-003,Product 04-003,KG,6956.0,3478.2,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-K-Unit-243,Factory K NM,FG,,,07-006,Product 07-006,KG,13913.0,6956.27,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-K-Unit-243,Factory K NM,FG,,,05-014,Product 05-014,KG,23069.0,11534.62,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-K-Unit-243,Factory K NM,FG,,,06-009,Product 06-009,KG,5643.0,2821.59,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-K-Unit-243,Factory K NM,FG,,,01-003,Product 01-003,KG,15800.0,7899.78,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-K-Unit-243,Factory K NM,FG,,,01-014,Product 01-014,KG,91896.0,45947.85,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-L-Unit-248,Factory L NM,FG,,,04-013,Product 04-013,KG,87415.0,43707.46,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-L-Unit-248,Factory L NM,FG,,,05-012,Product 05-012,KG,5314.0,2657.24,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-L-Unit-248,Factory L NM,FG,,,02-004,Product 02-004,KG,41624.0,20812.17,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-L-Unit-248,Factory L NM,FG,,,03-008,Product 03-008,KG,78904.0,39452.02,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-L-Unit-248,Factory L NM,FG,,,02-008,Product 02-008,KG,81857.0,40928.48,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-M-Unit-250,Factory M NM,FG,,,03-010,Product 03-010,KG,43482.0,21741.14,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-M-Unit-250,Factory M NM,FG,,,01-009,Product 01-009,KG,77845.0,38922.33,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-M-Unit-250,Factory M NM,FG,,,05-001,Product 05-001,KG,97239.0,48619.4,,,,,,,,,
,,2023-12-31,,,,,,2023-12-31,FAC-M-Unit-250,Factory M NM,FG,,,06-010,Product 06-010,KG,37176.0,18587.8,,,,,,,,,
